ID,页面类型,标题(Title),描述(Description),关键词(Keywords),页面URL,应用次数,是否模板,是否启用,创建时间,更新时间
97,tag,Vampire Wallpapers & Backgrounds | MarkWallpapers,,,https://www.markwallpapers.com/markwallpapers/tag/Vampire,0,否,是,2026-05-11 06:15:19,2026-05-11 06:15:26
96,tag,Vampire Wallpapers & Backgrounds | MarkWallpapers,Free HD 4K Vampire wallpapers for mobile and desktop. Explore mysterious and charming vampire anime backgrounds in high quality with no watermark for your screen.,"Vampire wallpapers,vampire anime backgrounds,dark vampire art,HD 4K vampire wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Vampire,0,否,是,2026-05-11 03:20:01,2026-05-11 03:20:01
95,tag,Angel Wallpapers & Backgrounds | MarkWallpapers,"Free HD 4K Angel wallpapers for mobile and desktop. Browse beautiful angel anime backgrounds with pure and elegant styles, high resolution and no watermark.","Angel wallpapers,angel anime backgrounds,elegant angel art,HD 4K angel wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Angel,0,否,是,2026-05-11 03:16:28,2026-05-11 03:16:28
94,tag,Punk Anime Wallpapers & Backgrounds | MarkWallpapers,"Free HD 4K Punk Anime wallpapers for mobile and desktop. Discover edgy, stylish and unique punk anime art backgrounds in high resolution with no watermark.","Punk Anime wallpapers,edgy punk anime backgrounds,stylish anime art,HD 4K punk wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Punk%20Anime,0,否,是,2026-05-11 03:13:39,2026-05-11 03:13:39
93,tag,Gothic Anime Wallpapers & Backgrounds | MarkWallpapers,"Free HD 4K Gothic Anime wallpapers for mobile and desktop. Explore dark, mysterious and elegant gothic anime backgrounds in high resolution with no watermark.","Gothic Anime wallpapers,dark gothic anime backgrounds,mysterious anime art,HD 4K gothic wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Gothic%20Anime,0,否,是,2026-05-11 02:57:30,2026-05-11 02:57:30
92,tag,Kawaii Wallpapers & Backgrounds | MarkWallpapers,Free HD 4K Kawaii wallpapers for mobile and desktop. Browse cute aesthetic kawaii anime backgrounds in high resolution with no watermark for your device.,"Kawaii wallpapers,cute kawaii backgrounds,kawaii anime art,HD 4K aesthetic wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Kawaii,0,否,是,2026-05-11 02:54:11,2026-05-11 02:54:11
91,tag,Anime Sparkle Wallpapers & Backgrounds | MarkWallpapers,Free HD 4K Anime Sparkle wallpapers for mobile and desktop. High quality no watermark aesthetic glitter anime backgrounds for your screen.,"Anime Sparkle wallpapers,glowing sparkle anime backgrounds,shiny anime art,HD 4K sparkle effect wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Anime%20Sparkle,0,否,是,2026-05-11 02:48:56,2026-05-11 02:48:56
88,tag,Anime Profile Wallpapers & Backgrounds | MarkWallpapers,"Free HD 4K Anime Profile wallpapers for mobile and desktop. Download aesthetic anime profile portraits, high resolution no watermark for your device screen.","Anime Profile wallpapers,anime profile pictures,aesthetic anime portraits,HD 4K anime profile backgrounds",https://www.markwallpapers.com/markwallpapers/tag/Anime%20Profile,0,否,是,2026-05-11 01:50:57,2026-05-11 02:01:31
89,tag,Anime Banner Wallpapers & Backgrounds | MarkWallpapers,Free HD 4K Anime Banner wallpapers for phone and desktop. Download aesthetic no-watermark anime banner backgrounds for social media headers and profile use.,"Anime Banner wallpapers,aesthetic anime banners,anime header backgrounds,HD 4K anime banner art",https://www.markwallpapers.com/markwallpapers/tag/Anime%20Banner,0,否,是,2026-05-11 01:56:33,2026-05-11 01:59:06
85,tag,Anime Icon Wallpapers & Backgrounds | MarkWallpapers,Browse free HD & 4K Anime Icon wallpapers for mobile and desktop. Get cute aesthetic anime icon images and character profile backgrounds in high resolution no watermark.,"Anime Icon wallpapers,aesthetic anime icons,anime profile pictures,HD 4K anime icon backgrounds",https://www.markwallpapers.com/markwallpapers/tag/Anime%20Icon,0,否,是,2026-05-11 01:17:35,2026-05-11 01:17:35
84,tag,Dark Anime Wallpapers & Backgrounds | MarkWallpapers,"Browse free HD & 4K Dark Anime wallpapers for phone and desktop. Find mysterious, gothic and moody dark anime art backgrounds in high quality with no watermark.","Dark Anime wallpapers,gothic dark anime backgrounds,moody anime art,HD 4K dark anime wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Dark%20Anime,0,否,是,2026-05-11 01:12:09,2026-05-11 01:12:09
82,tag,Pastel Anime Wallpapers & Backgrounds | MarkWallpapers,"Browse free HD & 4K Pastel Anime wallpapers for mobile and desktop. Discover aesthetic soft pastel color anime backgrounds with cute, calm and dreamy no-watermark art.","Pastel Anime wallpapers,pastel color anime backgrounds,aesthetic soft anime,HD 4K dreamy pastel anime",https://www.markwallpapers.com/markwallpapers/tag/Pastel%20Anime,0,否,是,2026-05-11 01:01:47,2026-05-11 01:01:47
81,tag,Official Art Wallpapers & Backgrounds | MarkWallpapers,Browse free HD & 4K Official Art wallpapers for phone and desktop. Collect premium official anime and game art backgrounds in high resolution with no watermark.,"Official Art wallpapers,official anime art backgrounds,premium game art,HD 4K official artwork",https://www.markwallpapers.com/markwallpapers/tag/Official%20Art,0,否,是,2026-05-11 00:59:27,2026-05-11 00:59:27
80,tag,Soft Anime Wallpapers & Backgrounds | MarkWallpapers,"Browse free HD & 4K Soft Anime wallpapers for mobile and desktop. Enjoy gentle, aesthetic and cozy soft anime art backgrounds in high resolution with no watermark.","Soft Anime wallpapers,aesthetic soft anime backgrounds,cozy anime art,HD 4K soft anime wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Soft%20Anime,0,否,是,2026-05-11 00:47:48,2026-05-11 00:47:48
79,tag,Gacha Wallpapers & Backgrounds | MarkWallpapers,Browse free HD & 4K Gacha wallpapers for phone and desktop. Explore cute stylish Gacha character backgrounds in high quality with no watermark for all devices.,"Gacha wallpapers,Gacha character backgrounds,HD Gacha art,4K cute Gacha wallpaper",https://www.markwallpapers.com/markwallpapers/tag/Gacha,0,否,是,2026-05-11 00:43:31,2026-05-11 00:43:31
